,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian NCAA,27,23,4,.852,6.10,-8.46,,13,2,,13,0,,5,4,,2096,1634,,72.5,107.0,.351,.372,.552,51.8,65.6,13.7,9.2,.526,16.5,31.7,.236
2,Air Force,25,5,20,.200,-13.04,0.17,,3,17,,3,8,,1,10,,1468,1798,,63.9,91.9,.309,.450,.547,40.1,59.0,11.1,8.0,.521,21.2,15.3,.214
3,Akron,23,15,8,.652,2.79,-1.02,,12,6,,9,1,,5,5,,1798,1660,,70.1,110.2,.303,.461,.555,51.7,48.6,6.9,8.9,.520,14.3,31.0,.230
4,Alabama A&M,15,6,9,.400,-19.25,-15.39,,4,9,,5,2,,1,7,,950,1008,,70.1,88.9,.318,.329,.475,49.8,47.6,7.7,9.1,.448,18.6,28.1,.199
5,Alabama-Birmingham,29,22,7,.759,5.84,-3.79,,13,5,,15,2,,6,4,,2105,1748,,68.9,105.3,.314,.272,.524,51.7,39.1,11.6,12.1,.493,13.2,29.5,.219
6,Alabama State,18,4,14,.222,-24.74,-17.41,,4,14,,3,6,,1,8,,1156,1288,,72.4,88.8,.427,.347,.476,49.1,45.7,8.4,6.1,.435,19.3,29.5,.277
7,Alabama NCAA,30,24,6,.800,20.16,10.36,,16,2,,12,1,,7,3,,2387,2093,,75.1,105.9,.286,.471,.542,51.0,51.1,11.5,10.6,.513,16.0,31.5,.206
8,Albany (NY),16,7,9,.438,-3.72,-4.41,,6,6,,4,5,,2,4,,1110,1099,,69.7,99.6,.341,.343,.541,47.9,47.3,8.8,5.1,.505,16.4,22.3,.247
9,Alcorn State,19,6,13,.316,-19.97,-10.45,,6,7,,4,3,,2,9,,1256,1437,,71.3,92.8,.340,.340,.488,47.8,40.7,10.6,5.0,.444,17.7,29.7,.247
10,American,10,4,6,.400,-2.46,2.04,,4,5,,2,2,,2,4,,691,736,,67.5,97.5,.268,.427,.550,48.2,51.6,10.3,11.4,.526,20.1,24.1,.189
11,Appalachian State NCAA,28,17,11,.607,-5.33,-5.24,,7,8,,9,4,,4,7,,1986,1806,,66.7,104.1,.343,.431,.525,50.6,49.4,11.8,9.8,.484,14.8,29.9,.253
12,Arizona State,25,11,14,.440,5.37,8.13,,7,10,,7,6,,2,6,,1858,1927,,72.6,101.4,.333,.354,.530,44.6,49.8,9.9,8.8,.492,13.5,21.1,.242
13,Arizona,26,17,9,.654,12.69,5.85,,11,9,,12,4,,5,5,,1961,1783,,68.4,109.2,.418,.314,.548,55.1,60.4,8.5,11.2,.505,14.7,34.0,.304
14,Little Rock,26,11,15,.423,-6.31,-5.35,,7,11,,7,4,,2,8,,1786,1782,,67.9,100.2,.369,.337,.542,52.3,55.5,9.3,9.6,.508,19.2,31.1,.259
15,Arkansas-Pine Bluff,25,4,21,.160,-22.90,-8.02,,3,12,,2,3,,2,17,,1549,1921,,69.5,88.2,.386,.295,.483,46.7,45.8,9.1,9.9,.432,19.7,26.7,.279
16,Arkansas State,24,11,13,.458,-7.96,-5.86,,7,8,,9,3,,1,9,,1741,1667,,69.3,104.1,.344,.289,.538,52.5,55.9,9.4,7.1,.502,16.2,31.9,.248
17,Arkansas NCAA,28,22,6,.786,18.06,6.34,,13,4,,16,1,,5,4,,2307,1979,,75.3,108.9,.327,.358,.550,52.8,50.8,10.7,13.5,.515,14.9,31.7,.241
18,Army,21,12,9,.571,4.67,4.77,,7,7,,5,5,,5,3,,1511,1452,,69.9,102.3,.282,.410,.544,49.6,54.0,9.0,4.2,.527,15.9,23.0,.179
19,Auburn,27,13,14,.481,10.27,9.53,,7,11,,8,5,,3,8,,2084,2064,,73.4,104.1,.362,.461,.546,52.0,56.3,8.4,14.8,.512,18.7,34.8,.256
20,Austin Peay,27,14,13,.519,-6.29,-7.85,,10,10,,8,5,,4,6,,2007,1890,,69.0,106.6,.286,.354,.546,52.1,48.7,9.7,5.9,.513,17.8,36.0,.215
21,Ball State,23,10,13,.435,-1.11,-0.37,,8,9,,7,4,,3,8,,1719,1736,,72.0,102.7,.287,.412,.547,49.4,51.9,7.5,6.1,.513,17.3,27.8,.215
22,Baylor NCAA,24,22,2,.917,23.32,5.36,,13,1,,11,0,,7,1,,2025,1594,,70.2,119.5,.270,.392,.593,53.2,54.8,12.7,10.3,.575,14.9,37.5,.188
23,Bellarmine,20,13,7,.650,-1.96,-6.24,,10,3,,6,4,,7,2,,1486,1307,,65.1,114.1,.288,.313,.599,51.4,56.2,11.0,8.1,.574,15.2,27.9,.214
24,Belmont,30,26,4,.867,3.88,-8.29,,18,2,,11,1,,10,2,,2439,2074,,71.9,112.7,.282,.430,.588,50.4,61.2,10.7,7.5,.563,14.8,26.1,.208
25,Binghamton,18,4,14,.222,-11.45,-4.56,,4,10,,1,9,,3,5,,1178,1302,,66.2,96.9,.232,.454,.511,50.2,46.3,7.4,8.3,.489,17.8,29.1,.156
26,Boise State,26,18,8,.692,9.61,0.85,,14,6,,11,1,,6,6,,1981,1725,,70.2,108.0,.350,.382,.558,52.3,50.2,9.4,7.9,.521,14.4,27.3,.260
27,Boston College,20,4,16,.200,1.69,9.84,,2,11,,3,5,,0,7,,1427,1590,,71.9,98.7,.297,.460,.527,47.3,46.0,9.9,10.0,.497,16.8,25.0,.208
28,Boston University,18,7,11,.389,1.11,5.67,,6,10,,2,6,,5,5,,1249,1331,,67.8,102.4,.286,.380,.532,51.2,41.9,8.0,7.8,.497,16.1,28.9,.215
29,Bowling Green State,25,14,11,.560,1.03,-1.31,,10,8,,4,7,,10,3,,1963,1886,,72.2,107.7,.287,.387,.520,49.6,45.0,9.9,5.5,.485,11.7,30.7,.212
30,Bradley,28,12,16,.429,0.50,1.34,,6,12,,8,6,,2,9,,1948,1864,,66.4,103.9,.240,.369,.534,52.3,51.9,7.7,11.0,.509,16.0,29.3,.174
31,Brigham Young NCAA,26,20,6,.769,14.58,5.86,,10,3,,11,2,,7,2,,2047,1780,,70.5,110.1,.274,.396,.582,54.8,57.4,6.6,7.2,.557,16.4,28.7,.200
