,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian NCAA,27,23,4,.852,6.10,-8.46,,13,2,,13,0,,5,4,,2096,1634,,1080,749,1628,.460,214,606,.353,384,571,.673,309,980,491,268,84,374,524
2,Air Force,25,5,20,.200,-13.04,0.17,,3,17,,3,8,,1,10,,1468,1798,,1000,522,1170,.446,174,527,.330,250,361,.693,110,580,308,177,62,361,415
3,Akron,23,15,8,.652,2.79,-1.02,,12,6,,9,1,,5,5,,1798,1660,,930,628,1415,.444,217,652,.333,325,429,.758,262,895,305,113,84,271,413
4,Alabama A&M,15,6,9,.400,-19.25,-15.39,,4,9,,5,2,,1,7,,950,1008,,610,347,868,.400,83,286,.290,173,276,.627,160,577,165,82,54,229,273
5,Alabama-Birmingham,29,22,7,.759,5.84,-3.79,,13,5,,15,2,,6,4,,2105,1748,,1160,788,1746,.451,147,475,.309,382,549,.696,311,1063,308,231,121,304,441
6,Alabama State,18,4,14,.222,-24.74,-17.41,,4,14,,3,6,,1,8,,1156,1288,,720,383,1009,.380,111,350,.317,279,431,.647,205,653,175,110,43,291,343
7,Alabama NCAA,30,24,6,.800,20.16,10.36,,16,2,,12,1,,7,3,,2387,2093,,1200,834,1937,.431,320,912,.351,399,554,.720,372,1215,426,259,131,420,554
8,Albany (NY),16,7,9,.438,-3.72,-4.41,,6,6,,4,5,,2,4,,1110,1099,,640,395,883,.447,102,303,.337,218,301,.724,110,480,187,98,29,201,285
9,Alcorn State,19,6,13,.316,-19.97,-10.45,,6,7,,4,3,,2,9,,1256,1437,,760,435,1107,.393,113,376,.301,273,376,.726,206,608,177,144,30,276,394
10,American,10,4,6,.400,-2.46,2.04,,4,5,,2,2,,2,4,,691,736,,420,248,557,.445,90,238,.378,105,149,.705,78,326,128,73,47,158,193
11,Appalachian State NCAA,28,17,11,.607,-5.33,-5.24,,7,8,,9,4,,4,7,,1986,1806,,1145,674,1626,.415,227,701,.324,411,558,.737,307,1007,333,225,97,329,386
12,Arizona State,25,11,14,.440,5.37,8.13,,7,10,,7,6,,2,6,,1858,1927,,1010,656,1515,.433,179,537,.333,367,504,.728,196,797,327,182,82,274,478
13,Arizona,26,17,9,.654,12.69,5.85,,11,9,,12,4,,5,5,,1961,1783,,1050,667,1492,.447,174,468,.372,453,623,.727,305,997,403,152,104,309,463
