,team,Round_2,Round_3,Round_4,Round_5,Round_6,Round_7
1,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga
2,Appalachian St.,Oklahoma,Creighton,Southern California,Michigan,Baylor,
3,Oklahoma,Creighton,Southern California,Michigan,Baylor,NA,
4,Missouri,Virginia,Oregon,BYU,Illinois,,
5,Creighton,Southern California,Michigan,Baylor,NA,,
6,UC Santa Barbara,Kansas,Colorado,Texas Tech,NA,,
7,Virginia,Oregon,BYU,Illinois,NA,,
8,Ohio,Iowa,UConn,San Diego St.,,,
9,Southern California,Michigan,Baylor,NA,,,
10,Wichita St.,St. Bonaventure,Purdue,NA,,,
11,Kansas,Colorado,Texas Tech,NA,,,
12,Eastern Wash.,Florida St.,Florida,NA,,,
13,Oregon,BYU,Illinois,NA,,,
14,VCU,Texas,Tennessee,NA,,,
15,Iowa,UConn,San Diego St.,NA,,,
16,Grand Canyon,Alabama,Rutgers,,,,
17,Michigan,Baylor,NA,,,,
18,Texas Southern,Wisconsin,NA,,,,
19,LSU,Villanova,NA,,,,
20,St. Bonaventure,Purdue,NA,,,,
21,Colorado,Texas Tech,NA,,,,
22,Georgetown,Arkansas,NA,,,,
23,Florida St.,Florida,NA,,,,
24,UNC Greensboro,Ohio St.,NA,,,,
25,BYU,Illinois,NA,,,,
26,UCLA,Loyola Chicago,NA,,,,
27,Texas,Tennessee,NA,,,,
28,Abilene Christian,Oklahoma St.,NA,,,,
29,UConn,San Diego St.,NA,,,,
30,Maryland,West Virginia,NA,,,,
31,Alabama,Rutgers,NA,,,,
32,Iona,Houston,,,,,
33,Baylor,NA,,,,,
34,Hartford,NA,,,,,
35,North Carolina,NA,,,,,
36,Wisconsin,NA,,,,,
37,Villanova,NA,,,,,
38,Winthrop,NA,,,,,
39,Purdue,NA,,,,,
40,North Texas,NA,,,,,
41,Texas Tech,NA,,,,,
42,Utah St.,NA,,,,,
43,Arkansas,NA,,,,,
44,Colgate,NA,,,,,
45,Florida,NA,,,,,
46,Virginia Tech,NA,,,,,
47,Ohio St.,NA,,,,,
48,Oral Roberts,NA,,,,,
49,Illinois,NA,,,,,
50,Drexel,NA,,,,,
51,Loyola Chicago,NA,,,,,
52,Georgia Tech,NA,,,,,
53,Tennessee,NA,,,,,
54,Oregon St.,NA,,,,,
55,Oklahoma St.,NA,,,,,
56,Liberty,NA,,,,,
57,San Diego St.,NA,,,,,
58,Syracuse,NA,,,,,
59,West Virginia,NA,,,,,
60,Morehead St.,NA,,,,,
61,Clemson,NA,,,,,
62,Rutgers,NA,,,,,
63,Houston,NA,,,,,
64,Cleveland St.,,,,,,
65,NA,,,,,,
66,NA,,,,,,
67,NA,,,,,,
68,NA,,,,,,
69,NA,,,,,,
70,NA,,,,,,
71,NA,,,,,,
72,NA,,,,,,
73,NA,,,,,,
74,NA,,,,,,
75,NA,,,,,,
76,NA,,,,,,
77,NA,,,,,,
78,NA,,,,,,
79,NA,,,,,,
80,NA,,,,,,
81,NA,,,,,,
82,NA,,,,,,
83,NA,,,,,,
84,NA,,,,,,
85,NA,,,,,,
86,NA,,,,,,
87,NA,,,,,,
88,NA,,,,,,
89,NA,,,,,,
90,NA,,,,,,
91,NA,,,,,,
92,NA,,,,,,
93,NA,,,,,,
94,NA,,,,,,
95,NA,,,,,,
96,NA,,,,,,
97,NA,,,,,,
98,NA,,,,,,
99,NA,,,,,,
100,NA,,,,,,
101,NA,,,,,,
102,NA,,,,,,
103,NA,,,,,,
104,NA,,,,,,
105,NA,,,,,,
106,NA,,,,,,
107,NA,,,,,,
108,NA,,,,,,
109,NA,,,,,,
110,NA,,,,,,
111,NA,,,,,,
112,NA,,,,,,
113,NA,,,,,,
114,NA,,,,,,
115,NA,,,,,,
116,NA,,,,,,
117,NA,,,,,,
118,NA,,,,,,
119,NA,,,,,,
120,NA,,,,,,
121,NA,,,,,,
122,NA,,,,,,
123,NA,,,,,,
124,NA,,,,,,
125,NA,,,,,,
126,NA,,,,,,
127,NA,,,,,,
